DOY,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8
176,6.123121067,6.424657069,7.290830364,6.631602107,6.407096529,6.278909335,7.133921716,6.474678943
177,5.093990877,5.346993728,6.036776116,5.524430597,5.318468714,5.225990858,5.910268391,5.401349729
178,6.180254168,6.489779627,7.289752473,6.711370046,6.438504933,6.343271398,7.141093015,6.570986959
179,5.66161632,5.947492319,6.64695857,6.15619961,5.885446851,5.813548164,6.515138424,6.035686333
180,2.899919148,3.047522853,3.388916349,3.157313065,3.008119657,2.979051928,3.323604138,3.099676143
181,5.111270729,5.373477316,5.945828502,5.572016509,5.290759921,5.253030495,5.834553042,5.477547755
182,5.333072609,5.608766426,6.175689079,5.821101509,5.50878986,5.48333709,6.063542412,5.72986895
183,4.978968372,5.238301104,5.739676498,5.441313894,5.132359301,5.121425182,5.638624992,5.362902439
184,5.172826451,5.444251537,5.936514867,5.660069683,5.321252373,5.323056067,5.835273005,5.585545274
185,5.53848082,5.831202223,6.327981381,6.06745903,5.685831857,5.701684102,6.223542566,5.995006073
186,4.712447484,4.963284492,5.360521317,5.168661118,4.828100363,4.853288651,5.274986903,5.113182704
187,4.675998893,4.926634101,5.295851014,5.134692326,4.781227824,4.817690345,5.214240329,5.085689679
188,5.306550499,5.592932441,5.983967317,5.833834521,5.415285275,5.469523491,5.895008992,5.785003289
189,5.254550009,5.540032333,5.899870821,5.783257544,5.351766569,5.418053528,5.815362441,5.741537326
190,4.573979106,4.824125675,5.113821168,5.039876887,4.649613644,4.718135534,5.043336013,5.009264991
191,4.237000783,4.470219522,4.717027804,4.673763345,4.298833542,4.37221184,4.654552678,4.650628585
192,4.994814473,5.271494686,5.537347162,5.515739603,5.058119099,5.156160267,5.466979948,5.49455044
193,6.049927751,6.387147889,6.679114229,6.688130177,6.115128272,6.247692484,6.597811276,6.669747231
194,5.164797215,5.45444703,5.678346245,5.715733505,5.210774978,5.335599129,5.612253216,5.706184582
195,4.598297519,4.857731657,5.034762987,5.094177557,4.630710428,4.752099594,4.97883658,5.091083303
196,5.087373044,5.376100695,5.547562491,5.64187116,5.113913621,5.259430481,5.488878134,5.644361437
197,5.694909887,6.019998882,6.184936659,6.322129225,5.714306473,5.889613731,6.122774746,6.331461061
198,6.77686344,7.165928127,7.330437275,7.530895947,6.78781171,7.011027943,7.260619027,7.549699655
199,6.103324261,6.455691376,6.57556612,6.789226971,6.102380428,6.316414661,6.516385441,6.813017216
200,5.108452767,5.405013346,5.481940287,5.688187549,5.098721542,5.288628305,5.435467155,5.713773317
201,5.5679352,5.892927923,5.951546186,6.205890471,5.547692145,5.766278151,5.904191835,6.239892204
202,6.34257196,6.71475932,6.753114482,7.076126837,6.308657369,6.570718776,6.702887991,7.12174697
203,6.52084734,6.905509358,6.916048405,7.281979727,6.474942491,6.757653326,6.868188398,7.335885396
204,6.393451799,6.772551088,6.754865937,7.146462192,6.337741356,6.627809767,6.71160466,7.206105686
205,6.349711437,6.728134872,6.683048294,7.104198719,6.283869129,6.584605887,6.643681849,7.170104939
206,5.677241565,6.017283834,5.952632078,6.357686554,5.609074902,5.889151787,5.920617498,6.422512392
207,4.971249883,5.249386795,5.188925699,5.542264268,4.907254753,5.130840505,5.152349464,5.589762512
208,5.812194604,6.114454172,6.039267317,6.45080488,5.732342747,5.968436023,5.986520611,6.495509489
209,6.005381674,6.294009601,6.211678313,6.635270836,5.917679725,6.13547677,6.146868317,6.670278243
210,6.73451017,7.031640745,6.934106531,7.407308384,6.630336071,6.845272664,6.849871443,7.43403123
211,6.100881658,6.346024326,6.252952061,6.679983795,6.001235409,6.169415305,6.166178323,6.692842253
212,7.161308131,7.420864832,7.306083595,7.805406361,7.038154606,7.204435556,7.19195023,7.807183214
213,8.791572669,9.075619481,8.927920796,9.538541218,8.632791233,8.798725904,8.772740383,9.524382242
214,4.410076217,4.535214485,4.457721852,4.762834947,4.326620818,4.390704911,4.372326173,4.747539622
215,6.464352492,6.622366818,6.503790898,6.949287081,6.336445274,6.402319336,6.367550319,6.914863535
216,5.98889866,6.111756373,5.997284537,6.408400453,5.86523458,5.900278565,5.8608169,6.365393466
217,5.002980181,5.08596161,4.986479372,5.328567969,4.895362014,4.902939967,4.863921132,5.283359948
218,6.190589112,6.268964604,6.141099098,6.562726047,6.052091211,6.034633424,5.978865342,6.495307829
219,5.747876771,5.79809205,5.674945636,6.064873642,5.614333835,5.573220811,5.514492694,5.991624003
220,4.456160736,4.477613029,4.378712234,4.679813385,4.348793392,4.297621727,4.246707344,4.614770241
221,5.001106687,5.00557616,4.890734255,5.227312635,4.876306942,4.797229867,4.734049385,5.145055407
222,4.869608062,4.854878376,4.739312546,5.065732373,4.743902506,4.645836287,4.578438915,4.976625845
223,5.959055555,5.917690923,5.771691344,6.169538477,5.800105023,5.654329408,5.564663816,6.04947353
224,5.774620863,5.711930021,5.566014085,5.949997401,5.615629131,5.44940511,5.355550713,5.822971584
225,5.297978789,5.219731846,5.081792852,5.43266018,5.147561224,4.972168374,4.879674661,5.306328194
226,4.296498662,4.216238838,4.101077821,4.384468095,4.170827155,4.010035372,3.929849298,4.274080298
227,4.569849424,4.466618767,4.340626211,4.640821142,4.432262268,4.241516037,4.150725155,4.514972935
228,5.283522449,5.163615908,5.015020576,5.358391652,5.122052102,4.906460388,4.79626372,5.21667636
229,6.403620051,6.257622399,6.073982133,6.485661516,6.205017309,5.949705147,5.809818967,6.318487074
230,5.635408253,5.506335284,5.341611003,5.699959952,5.458080841,5.238658054,5.109990707,5.55687042
231,6.530607004,6.380347557,6.185851238,6.596560312,6.322158804,6.073969829,5.918424264,6.435405363
232,5.688330829,5.55685672,5.384308603,5.738075665,5.504198655,5.293317861,5.152231219,5.601764012
233,5.438253314,5.311991819,5.144034027,5.478455801,5.25976354,5.063213514,4.922979417,5.35201265
234,5.728021,5.594434902,5.414376236,5.762626919,5.537440262,5.335740836,5.182405745,5.633524232
235,4.109927664,4.01365008,3.882196954,4.129211431,3.971334124,3.830427595,3.716373439,4.039501203
236,4.392595913,4.289239868,4.146334386,4.407284676,4.242495891,4.095971476,3.969766076,4.314524567
237,4.916034622,4.799851624,4.63722121,4.925854244,4.745840835,4.586409546,4.440350206,4.825528515
238,4.237093042,4.136516162,3.994025367,4.239857541,4.088503995,3.955011671,3.824978994,4.156390519
239,4.326378518,4.22323385,4.075373296,4.323388693,4.172720156,4.040413294,3.903412642,4.24122566
240,4.716835231,4.603893408,4.440110493,4.707245448,4.547198394,4.407305279,4.253335959,4.621002728
241,4.565487784,4.455697757,4.294677663,4.550085498,4.399253251,4.268058912,4.114578311,4.469834952
242,5.813847334,5.673436424,5.465217549,5.78644851,5.599562723,5.437850691,5.236740699,5.688356919
243,4.852029342,4.734346763,4.557931747,4.822673361,4.671031011,4.54053631,4.36797655,4.74422936
244,4.123830331,4.023384671,3.871202429,4.093370363,3.968159245,3.861039518,3.710370128,4.029602618
245,4.629301328,4.516067116,4.342715344,4.588929516,4.452489008,4.336489289,4.162858,4.520601084
246,6.008000344,5.86042484,5.632183636,5.947595593,5.775859036,5.630821913,5.399653957,5.863137992
247,4.043373173,3.943639768,3.78784111,3.997336541,3.885347098,3.791441258,3.631949251,3.943333916
248,4.764681299,4.646667266,4.460494211,4.704094215,4.576351183,4.470053021,4.27749886,4.643797536
249,5.735572943,5.592923482,5.365710672,5.655019251,5.506325926,5.383609932,5.146276135,5.586451696
250,5.039061001,4.91321856,4.710874177,4.961601506,4.835422991,4.732209952,4.518832662,4.904884735
251,6.617001076,6.451075377,6.181795929,6.506513168,6.3466703,6.217171613,5.930596082,6.436658585
252,5.058099652,4.930747704,4.722179971,4.966943156,4.849222596,4.754840406,4.530907047,4.917075276
253,4.346571055,4.236690291,4.055120424,4.262487808,4.165159696,4.088009652,3.891395007,4.222664673
254,3.836532025,3.739153906,3.576825419,3.757245806,3.674717561,3.610107846,3.432877104,3.724766935
255,3.966826885,3.865737732,3.695763999,3.879612043,3.797771024,3.734568842,3.547510609,3.848789119
256,2.571758158,2.505958847,2.394381234,2.511824561,2.461025846,2.42238337,2.298644127,2.493628282
257,1.695188388,1.651644185,1.577187977,1.653450226,1.621454123,1.597518528,1.514331207,1.642632482
258,1.432580626,1.395636625,1.331947175,1.395423605,1.369640363,1.350709175,1.279037857,1.387274769
259,2.095963621,2.041699536,1.947395805,2.038845986,2.002959264,1.97715636,1.870292873,2.028375045
260,2.1309404,2.075554985,1.978538376,2.07007235,2.035451275,2.011142004,1.900460581,2.060900636
261,1.929053093,1.878719816,1.789864543,1.871422282,1.841767254,1.821501073,1.719465867,1.864452358
262,2.255184069,2.196113442,2.091033115,2.184856187,2.152156491,2.130495999,2.009061909,2.178264386
263,3.631958361,3.536458948,3.365292606,3.513943858,3.464448634,3.432833403,3.233808238,3.505831756
264,3.057671266,2.976963993,2.83123514,2.954321107,2.915315745,2.891448484,2.720986595,2.949597404
265,2.381000108,2.31791379,2.203169259,2.297413232,2.26911177,2.252664656,2.117665512,2.295372811
266,3.536127698,3.442079707,3.269789619,3.407377804,3.368419769,3.347165579,3.143318277,3.406777358
267,3.476946158,3.384122782,3.212871685,3.345821838,3.310534772,3.292751932,3.089021866,3.347618032
268,4.029214197,3.921242576,3.720655314,3.87201959,3.834622278,3.817621428,3.577717967,3.876863728
269,3.609921109,3.512823399,3.331199042,3.464392528,3.434014464,3.422010496,3.203659247,3.471205016
270,2.992907291,2.912105916,2.759942583,2.86836679,2.845771156,2.838492034,2.654635264,2.876062488
271,2.388828503,2.324096814,2.201383912,2.286326653,2.270356762,2.266678079,2.117676837,2.294101619
272,2.77827453,2.702712097,2.558527728,2.655462642,2.639288371,2.637485952,2.461575269,2.666401765
273,2.875176133,2.796691171,2.645962599,2.744359931,2.730101659,2.730795929,2.546043356,2.757641222
274,2.788124685,2.711737965,2.564105176,2.657664946,2.646240787,2.649393389,2.46761294,2.672443315
